		25ns master table: /dev/CMSSW_7_4_0/HLT/V212																																				
		HLT_Dimuon16_Jpsi_v2	BPH	25ns, 50ns,	yes	CMSHLT-211 (only for 7e33)	L1_DoubleMu_10_0_WdEta18	1	1			0	1	#REF!	#REF!			ms		±		Hz		±		Hz		ms		±		Hz		±		Hz		- group: BPH, - exp rate at 7E33: 21.5 Hz, - type: signal, - description: Quarkonia
		HLT_Dimuon20_Jpsi_v2	BPH	25ns, 50ns,	yes	CMSHLT-82	L1_DoubleMu_10_0_WdEta18	1	1			1	1	#REF!	#REF!			ms		±		Hz		±		Hz		ms		±		Hz		±		Hz		- group: BPH, - exp rate at 1.4E34: 20 Hz, - type: signal, - description: Quarkonia
		HLT_DiPFJet40_DEta3p5_MJJ600_PFMETNoMu140_v2	Higgs	25ns, 50ns,	yes	CMSHLT-137	L1_ETM60 OR L1_ETM70	1	1			1	1	#REF!	#REF!			ms		±		Hz		±		Hz		ms		±		Hz		±		Hz		group: HIG, rate: 4.5 Hz (@ L=1.4e34), type: signal, description: VBF H(invisible) baseline signal trigger
		HLT_Diphoton30_18_R9Id_OR_IsoCaloId_AND_HE_R9Id_DoublePixelSeedMatch_Mass70_v1	HIG	25ns, 50ns,	yes	CMSHLT-291, mod CMSHLT-361	L1_SingleEG40 OR L1_SingleEG25 OR L1_DoubleEG_22_10 OR L1_DoubleEG_15_10	1	1			1	1	#REF!	#REF!			ms		±		Hz		±		Hz		ms		±		Hz		±		Hz		HIG: Control path for H->diphoton analysis. , Lower mass cut and pixel seed requirement to collect Z->ee events.
		HLT_Diphoton30_18_R9Id_OR_IsoCaloId_AND_HE_R9Id_Mass95_v1	HIG	25ns, 50ns,	yes	CMSHLT-291, mod CMSHLT-361	L1_SingleEG40 OR L1_SingleEG25 OR L1_DoubleEG_22_10 OR L1_DoubleEG_15_10	1	1			1	1	#REF!	#REF!			ms		±		Hz		±		Hz		ms		±		Hz		±		Hz		HIG: higgs->diphoton rediscovery trigger. , pT cut at 30/18 to allow for mass window used in analysis. , Total rate 30+-2Hz. , Efficiency: .98 in two most significant categories.
		HLT_Diphoton30_18_Solid_R9Id_AND_IsoCaloId_AND_HE_R9Id_Mass55_v1	HIG, SMP	25ns, 50ns,	yes	CMSHLT-291, mod CMSHLT-361	L1_SingleEG40 OR L1_SingleEG25 OR L1_DoubleEG_22_10 OR L1_DoubleEG_15_10	1	1			100000	100000	#REF!	#REF!			ms		±		Hz		±		Hz		ms		±		Hz		±		Hz		low-mass higgs
		HLT_Diphoton30EB_18EB_R9Id_OR_IsoCaloId_AND_HE_R9Id_DoublePixelVeto_Mass55_v1	HIG, SMP	25ns, 50ns,	yes	CMSHLT-291, mod CMSHLT-361	L1_SingleEG40 OR L1_SingleEG25 OR L1_DoubleEG_22_10 OR L1_DoubleEG_15_10	1	1			1	1	#REF!	#REF!			ms		±		Hz		±		Hz		ms		±		Hz		±		Hz		low-mass higgs , Main signal path
		HLT_Diphoton30PV_18PV_R9Id_AND_IsoCaloId_AND_HE_R9Id_DoublePixelVeto_Mass55_v1	HIG, SMP	25ns, 50ns,	yes	CMSHLT-291, mod CMSHLT-361	L1_SingleEG40 OR L1_SingleEG25 OR L1_DoubleEG_22_10 OR L1_DoubleEG_15_10	1	1			1	1	#REF!	#REF!			ms		±		Hz		±		Hz		ms		±		Hz		±		Hz		low-mass higgs , SMP: primary, can be used by low-mass
		HLT_DoubleEle24_22_eta2p1_WPLoose_Gsf_v1	HIG, TAU	25ns, 50ns,	yes	CMSHLT-160, mod. CMSHLT-232, CMSHLT-330	L1_DoubleEG_22_10	1	1			1	1	#REF!	#REF!			ms		±		Hz		±		Hz		ms		±		Hz		±		Hz		group: TAU, HIG, rate: 4Hz at 1.4e34, in shadow of unprescaled Ele17_Ele8_Gsf path, type: monitor, description: DoubleElectron trigger with electrons identical as in e-leg of e+tau trigger. To be used for T&P measurement of e-leg efficiency with Z->ee events
		HLT_DoubleEle33_CaloIdL_GsfTrkIdVL_MW_v2	EXO,B2G	25ns, 50ns,	yes	CMSHLT-88, updated by CMSHLT-149	L1_SingleEG40 OR L1_SingleEG35 OR L1_SingleEG30 OR L1_SingleEG25 OR L1_DoubleEG_22_10 OR L1_SingleJet200	1	1			1	1	#REF!	#REF!			ms		±		Hz		±		Hz		ms		±		Hz		±		Hz		group: EXO, rate: 8.2+/- 0.4Hz at 13 TeV PU40bx25 MC (1.4E34), type: signal, approval: https://indico.cern.ch/event/338306/contribution/21/material/slides/0.pdf, description: base unisolated EXO trigger, main driver is Z'->ee analysis but generally used in EXO
