master: 	/dev/CMSSW_7_4_0/50nsHLT/V215																																							  1 072.0	±		Hz	STEAM rates evaluated on the Spring'15 samples, corresponding to a luminoity of 5e33 cm⁻²s⁻¹ with the menu
menu:	/frozen/2015/50ns_5e33/v2.1/HLT/V5																																											/dev/CMSSW_7_4_0/50nsGRun/V116
								Old L1		L1 prescales								HLT prescales								Total prescales																		
A	SingleMuon	HLT_L1SingleMu16_v1	SMP	yes	CMSHLT-357	L1_SingleMu16		   1										  5 000	  4 000	  3 000	  2 000	  1 000	   500	   250		0	0	0	0	0	0	0			ms		±		Hz	   0.6	±	   0.2	Hz	group: SMP, muon, rate: 15% higher than Mu24_eta2p1 (to be keep prescaled at ~0.5-1 Hz), type: background, description: extension of Mu24_eta2p1 up to full eta range
A	SingleMuon	HLT_L1SingleMuOpen_DT_v1		yes	CMSHLT-261 (for commissioning)	L1_SingleMuOpen		  262 139										0	0	0	0	0	0	0		0	0	0	0	0	0	0			ms		±		Hz	0	±	0	Hz	
A	SingleMuon	HLT_L1SingleMuOpen_v1		yes	CMSHLT-261 (for commissioning)	L1_SingleMuOpen		  262 139										0	0	0	0	0	0	0		0	0	0	0	0	0	0			ms		±		Hz	0	±	0	Hz	
A	SingleMuon	HLT_L2Mu10_v1		yes	CMSHLT-357	L1_SingleMu16		   1										   500	   400	   300	   200	   100	   50	   25		0	0	0	0	0	0	0			ms		±		Hz	   5.2	±	   1.0	Hz	
A	SingleMuon	HLT_Mu10_TrkIsoVVL_DiPFJet40_DEta3p5_MJJ750_HTT350_PFMETNoMu60_v2		yes	CMSHLT-317	L1_Mu6_HTT150		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   0.5	±	   0.0	Hz	
A	SingleMuon	HLT_Mu15_IsoVVVL_BTagCSV0p72_PFHT400_v2	SUSY	yes	CMSHLT-165, mod. CMSHLT-311, CMSHLT-405	(L1_HTT150 OR L1_HTT175) AND (L1_SingleMu5)		   250										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz		±		Hz	Group: SUSY, electron+hadronic, Type: signal, Rate: 5.8 Hz for 1.4e34, , Comments: 15 GeV lepton with very loose isolation. Cone size R=0.2
A	SingleMuon	HLT_Mu15_IsoVVVL_PFHT350_PFMET70_v1	SUSY	yes	CMSHLT-165, mod. CMSHLT-311, mod CMSHLT-356	(L1_HTT150 OR L1_HTT175) AND (L1_SingleMu5)		   250										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   0.0	±	   0.0	Hz	Group: SUSY, electron+hadronic, Type: signal, Rate: 2.2 Hz for 1.4e34, , Comments: 15 GeV lepton with very loose isolation. Cone size R=0.2
A	SingleMuon	HLT_Mu15_IsoVVVL_PFHT600_v2	SUSY	yes	CMSHLT-165, mod. CMSHLT-311	(L1_HTT150 OR L1_HTT175) AND (L1_SingleMu5)		   250										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   0.0	±	0	Hz	Group: SUSY, electron+hadronic, Type: signal, Rate: 2.6 Hz for 1.4e34, , Comments: 15 GeV lepton with very loose isolation. Cone size R=0.2
A	SingleMuon	HLT_Mu15_PFHT300_v2	SUSY	yes	CMSHLT-165, mod. CMSHLT-311	(L1_HTT150 OR L1_HTT175) AND (L1_SingleMu5)		   250										   65	   52	   39	   26	   13	   7	   3		0	0	0	0	0	0	0			ms		±		Hz	0	±	0	Hz	Group: SUSY, electron+hadronic, Type: control, Rate: 0.5 Hz, , Comments: control trigger for the VVVL single lepton cross-triggers. To be prescaled for 0.5 Hz, about 130 for 1.4e34
A	SingleMuon	HLT_Mu16_eta2p1_CaloMET30_v2	Taus, Higgs H2taus	yes	CMSHLT-160	L1_Mu14er_ETM30		   1										   110	   110	   110	   110	   110	   110	   110		0	0	0	0	0	0	0			ms		±		Hz	   1.2	±	   0.1	Hz	group: HIG, TAU, rate: 340Hz at 1.4e34 => to be prescaled to ~1.5Hz, type: control, description: Trigger with a non-isolated Muon, seeded by L1_Mu_ETM. Used for estimation of eficciency of HLT & offline PFTau using Z->mu+tau events., Note: version with caloMET at HLT
A	SingleMuon	HLT_Mu20_v1	SMP	yes	CMSHLT-240	L1_SingleMu16		   1										   100	   80	   60	   40	   20	   10	   5		0	0	0	0	0	0	0			ms		±		Hz	   5.1	±	   0.5	Hz	
A	SingleMuon	HLT_Mu24_eta2p1_v1	SMP	yes	CMSHLT-153	L1_SingleMu20er		   1										   350	   280	   210	   140	   70	   35	   18		0	0	0	0	0	0	0			ms		±		Hz	   0.6	±	   0.0	Hz	
A	SingleMuon	HLT_Mu27_v1	SMP	yes	CMSHLT-153	L1_SingleMu25		   1										   250	   200	   150	   100	   50	   25	   13		0	0	0	0	0	0	0			ms		±		Hz	   0.6	±	   0.0	Hz	
A	SingleMuon	HLT_Mu28NoFiltersNoVtx_CentralCaloJet40_v2	EXO (long-lived)	yes	CMSHLT-310	L1_SingleMu16 OR L1_SingleMu25		   1										   300	   300	   300	   300	   300	   300	   300		0	0	0	0	0	0	0			ms		±		Hz	   0.4	±	   0.0	Hz	
A	SingleMuon	HLT_Mu28NoFiltersNoVtx_DisplacedJet40_Loose_v2	EXO (long-lived)	yes	CMSHLT-310	L1_SingleMu16 OR L1_SingleMu25		   1										   70	   70	   70	   70	   70	   70	   70		0	0	0	0	0	0	0			ms		±		Hz	   0.4	±	   0.0	Hz	Group: EXO, A path which requires one displaced muon(dxy > 0.01cm) and one loose displaced jet(at most 2 prompt jet with dxy<0.2), It is a control patt which has lower pt threshold and looset displaced requrement., Rates:0.1Hz prescaled.
A	SingleMuon	HLT_Mu300_v1	Hotline	yes	CMSHLT-312	L1_SingleMu16 OR L1_SingleMu25		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   0.5	±	   0.5	Hz	group: EXO, SMP, muon, rate: 15% higher than Mu40_eta2p1, type: signal, description: extension of Mu40_eta2p1 up to full eta range
A	SingleMuon	HLT_Mu33NoFiltersNoVtxDisplaced_DisplacedJet50_Loose_v2	EXO (long-lived)	yes	CMSHLT-310	L1_SingleMu16 OR L1_SingleMu25		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   4.5	±	   0.2	Hz	Group: EXO, A path which requires one displaced muon(dxy > 0.01cm) and one loose displaced jet(at most 2 prompt jet with dxy<0.2), Rate:2.0Hz
A	SingleMuon	HLT_Mu33NoFiltersNoVtxDisplaced_DisplacedJet50_Tight_v2	EXO (long-lived)	yes	CMSHLT-310	L1_SingleMu16 OR L1_SingleMu25		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   2.0	±	   0.1	Hz	Group: EXO, A path which requires one displaced muon(dxy > 0.01cm) and one tight displaced jet(at most 1 prompt jet with dxy<0.2), Rate:5.2Hz
A	SingleMuon	HLT_Mu350_v1	EXO, SMP	yes	CMSHLT-312	L1_SingleMu16 OR L1_SingleMu25		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   0.0	±	   0.0	Hz	group: EXO, SMP, muon, rate: 15% higher than Mu40_eta2p1, type: signal, description: extension of Mu40_eta2p1 up to full eta range
A	SingleMuon	HLT_Mu38NoFiltersNoVtx_DisplacedJet60_Loose_v2	EXO (long-lived)	yes	CMSHLT-310	L1_SingleMu16 OR L1_SingleMu25		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   4.3	±	   0.2	Hz	Group: EXO, Control path using loos displaced jet sequence and Mu NoFiltersNoVtx sequence, Rate:0.1Hz prescaled
A	SingleMuon	HLT_Mu38NoFiltersNoVtxDisplaced_DisplacedJet60_Loose_v2	EXO (long-lived)	yes	CMSHLT-310	L1_SingleMu16 OR L1_SingleMu25		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   2.0	±	   0.1	Hz	Group: EXO, Backup path which requires one displaced muon(dxy > 0.01cm) and one loose displaced jet(at most 2 prompt jet with dxy<0.2), Rate:0.7Hz
A	SingleMuon	HLT_Mu38NoFiltersNoVtxDisplaced_DisplacedJet60_Tight_v2	EXO (long-lived)	yes	CMSHLT-310	L1_SingleMu16 OR L1_SingleMu25		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   0.8	±	   0.0	Hz	Group: EXO, Backup path which requires one displaced muon(dxy > 0.01cm) and one tight displaced jet(at most 1 prompt jet with dxy<0.2), Rate:1.9Hz
A	SingleMuon	HLT_Mu40_eta2p1_PFJet200_PFJet50_v2	B2G	yes	CMSHLT-98	L1_SingleMu16er OR L1_SingleMu20er		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   2.7	±	   0.1	Hz	group: B2G, , High pt unisolated lepton trigger plus jets in a boosted regime, Expected rate: 4.28 Hz at L=1E34
A	SingleMuon	HLT_Mu45_eta2p1_v1	EXO,B2G	yes	CMSHLT-194	L1_SingleMu16 OR L1_SingleMu25		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   22.1	±	   0.5	Hz	group: EXO, SMP, muon, rate: 15% higher than Mu40_eta2p1, type: signal, description: extension of Mu40_eta2p1 up to full eta range
A	SingleMuon	HLT_Mu50_eta2p1_v1	EXO	yes	CMSHLT-352	L1_SingleMu16 OR L1_SingleMu25		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   14.3	±	   0.5	Hz	
A	SingleMuon	HLT_Mu50_v1	EXO,B2G	yes	CMSHLT-64, updated by CMSHLT-86, CMSHLT-162, CMSHLT-194	L1_SingleMu16 OR L1_SingleMu25		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   15.3	±	   0.5	Hz	
A	SingleMuon	HLT_Mu55_v1	EXO	yes	CMSHLT-352	L1_SingleMu16 OR L1_SingleMu25		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   10.4	±	   0.5	Hz	group: EXO, SMP, muon, rate: 15% higher than Mu40_eta2p1, type: signal, description: extension of Mu40_eta2p1 up to full eta range
A	SingleMuon	HLT_TkMu20_v2	SMP	yes	CMSHLT-240	L1_SingleMu16		   1										   450	   360	   270	   180	   90	   45	   23		0	0	0	0	0	0	0			ms		±		Hz	   1.0	±	   0.0	Hz	group: SMP, rate: PS to 1 Hz, type: control, description: prescaled non-iso trigger for iso and fake studies
A	SingleMuon	HLT_TkMu24_eta2p1_v2	SMP	yes	CMSHLT-153	L1_SingleMu20er		   1										   350	   280	   210	   140	   70	   35	   18		0	0	0	0	0	0	0			ms		±		Hz	   0.6	±	   0.0	Hz	group: SMP, rate: PS to 1 Hz, type: control, description: prescaled non-iso trigger for iso and fake studies
A	SingleMuon	HLT_TkMu27_v2	SMP	yes	CMSHLT-153	L1_SingleMu25		   1										   250	   200	   150	   100	   50	   25	   13		0	0	0	0	0	0	0			ms		±		Hz	   0.6	±	   0.0	Hz	group: SMP, rate: PS to 1 Hz, type: control, description: prescaled non-iso trigger for iso and fake studies
A	SinglePhoton	HLT_Photon120_R9Id90_HE10_Iso40_EBOnly_PFMET40_v2	Higgs (H→ZZ→2ℓ2ν)	yes	CMSHLT-138	L1_SingleEG40		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   5.5	±	   1.5	Hz	group: HIG
A	SinglePhoton	HLT_Photon120_R9Id90_HE10_Iso40_EBOnly_VBF_v2	Higgs (H→ZZ→2ℓ2ν)	yes	CMSHLT-138	L1_SingleEG40		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   2.3	±	   0.8	Hz	group: HIG
A	SinglePhoton	HLT_Photon120_R9Id90_HE10_IsoM_v2	SMP,SUSY	yes	CMHSLT-157, mod. CMSHLT-230	L1_SingleEG25 OR L1_SingleEG40		   1										   2	   2	   2	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   4.7	±	   1.1	Hz	group: SMP, rate: PS to 1.5 Hz, type: signal/control, description: single photons with ID and iso, for higher purity SMP selection and SUSY Z+jets bg estimates
A	SinglePhoton	HLT_Photon120_v2	SMP, EXO	yes	CMHSLT-157	L1_SingleEG25 OR L1_SingleEG40		   1										   100	   80	   60	   40	   20	   10	   5		0	0	0	0	0	0	0			ms		±		Hz	   0.6	±	   0.2	Hz	group: SMP, rate: PS to 0.5 Hz, type: signal/control, description: single photons with loose ID and no iso for unbiased fake studies
A	SinglePhoton	HLT_Photon135_PFMET100_NoiseCleaned_v2	EXO	yes	CMSHLT-194	L1_SingleEG25 OR L1_SingleEG40 OR L1_SingleJet200		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   2.7	±	   1.1	Hz	group: EXO, - type: signal
A	SinglePhoton	HLT_Photon165_HE10_v2	SMP,SUSY	yes	CMSHLT-194	L1_SingleEG25 OR L1_SingleEG40 OR L1_SingleJet200		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   5.8	±	   0.5	Hz	group: Egamma
A	SinglePhoton	HLT_Photon165_R9Id90_HE10_IsoM_v2	HIG, SUSY, SMP	yes	CMHSLT-157, mod. CMSHLT-230	L1_SingleEG25 OR L1_SingleEG40		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   0.6	±	   0.0	Hz	group: SMP, rate: in shadow of HLT_Photon165_HE10 if unprescaled, otherwise PS to 1.5 Hz, type: signal/control/backup, description: single photons with ID and iso, for higher purity SMP selection and SUSY Z+jets bg estimates
A	SinglePhoton	HLT_Photon175_v2	SMP, EXO	yes	CMSHLT-194	L1_SingleEG25 OR L1_SingleEG40 OR L1_SingleJet200		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   5.1	±	   0.5	Hz	group: Egamma
A	SinglePhoton	HLT_Photon22_R9Id90_HE10_Iso40_EBOnly_PFMET40_v2	Higgs (H→ZZ→2ℓ2ν)	yes	CMSHLT-83, updated by CMSHLT-122, CMSHLT-138	L1_SingleEG20		  2 000										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   0.0	±	   0.0	Hz	group: HIG, - type: control , - approval: https://indico.cern.ch/event/320705/contribution/16/material/slides/0.pdf, - hltIntegrationTests: /afs/cern.ch/user/x/xshi/public/hlt/hzz_photon_jet_v53/hlt.log, - rate: 95.84 Hz (2012Data)
A	SinglePhoton	HLT_Photon22_R9Id90_HE10_Iso40_EBOnly_VBF_v2	Higgs (H→ZZ→2ℓ2ν)	yes	CMSHLT-83, updated by CMSHLT-122, CMSHLT-138	L1_SingleEG20		  2 000										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   0.0	±	   0.0	Hz	group: HIG, - type: control , - approval: https://indico.cern.ch/event/320705/contribution/16/material/slides/0.pdf, - hltIntegrationTests: /afs/cern.ch/user/x/xshi/public/hlt/hzz_photon_jet_v53/hlt.log, - rate: 32.24 Hz (2012Data)
A	SinglePhoton	HLT_Photon22_R9Id90_HE10_IsoM_v2	SMP,SUSY	yes	CMHSLT-157, mod. CMSHLT-230	L1_SingleEG20		  2 000										   1	   1	  1 200	   800	   400	   200	   100		0	0	0	0	0	0	0			ms		±		Hz	   0.1	±	   0.0	Hz	group: SMP, rate: PS to 0.5 Hz, type: signal/control, description: single photons with ID and iso, for higher purity SMP selection and SUSY Z+jets bg estimates
A	SinglePhoton	HLT_Photon22_v2	SMP, EXO	yes	CMHSLT-157	L1_SingleEG20		  2 000										   6	   5	  7 200	  4 800	  2 400	  1 200	   600		0	0	0	0	0	0	0			ms		±		Hz	   0.1	±	   0.0	Hz	group: SMP, rate: PS to 0.5 Hz, type: signal/control, description: single photons with loose ID and no iso for unbiased fake studies
A	SinglePhoton	HLT_Photon250_NoHE_v2	Higgs (H→ZZ→2ℓ2ν)	yes	CMSHLT-138	L1_SingleEG40 OR L1_SingleJet200		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   7.2	±	   1.5	Hz	
A	SinglePhoton	HLT_Photon30_R9Id90_HE10_IsoM_v2	SMP,SUSY	yes	CMHSLT-157, mod. CMSHLT-230	L1_SingleEG25		   1										  1 000	   800	   600	   400	   200	   100	   50		0	0	0	0	0	0	0			ms		±		Hz	   0.8	±	   0.2	Hz	group: SMP, rate: PS to 0.5 Hz, type: signal/control, description: single photons with ID and iso, for higher purity SMP selection and SUSY Z+jets bg estimates
A	SinglePhoton	HLT_Photon30_v2	SMP, EXO	yes	CMHSLT-157	L1_SingleEG25		   1										  18 000	  14 400	  10 800	  7 200	  3 600	  1 800	   900		0	0	0	0	0	0	0			ms		±		Hz	   0.4	±	   0.2	Hz	group: HIG, SUS, EXO, rate (using fill 2998): 2.7 kHz, type: control, approval: https://indico.cern.ch/getFile.py/access?contribId=6&resId=0&materialId=slides&confId=207460
A	SinglePhoton	HLT_Photon300_NoHE_v2	Higgs (H→ZZ→2ℓ2ν)	yes	CMSHLT-138	L1_SingleEG40 OR L1_SingleJet200		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   5.6	±	   1.5	Hz	
A	SinglePhoton	HLT_Photon36_R9Id90_HE10_Iso40_EBOnly_PFMET40_v2	Higgs (H→ZZ→2ℓ2ν)	yes	CMSHLT-83, updated by CMSHLT-122, CMSHLT-138	L1_SingleEG30		   1										   100	   100	   100	   100	   100	   100	   100		0	0	0	0	0	0	0			ms		±		Hz	   0.9	±	   0.5	Hz	group: HIG, - type: control , - approval: https://indico.cern.ch/event/320705/contribution/16/material/slides/0.pdf, - hltIntegrationTests: /afs/cern.ch/user/x/xshi/public/hlt/hzz_photon_jet_v53/hlt.log, - rate: 15.83 Hz (2012Data)
A	SinglePhoton	HLT_Photon36_R9Id90_HE10_Iso40_EBOnly_VBF_v2	Higgs (H→ZZ→2ℓ2ν)	yes	CMSHLT-83, updated by CMSHLT-122, CMSHLT-138	L1_SingleEG30		   1										   100	   100	   100	   100	   100	   100	   100		0	0	0	0	0	0	0			ms		±		Hz	   0.3	±	   0.0	Hz	group: HIG, - type: control , - approval: https://indico.cern.ch/event/320705/contribution/16/material/slides/0.pdf, - hltIntegrationTests: /afs/cern.ch/user/x/xshi/public/hlt/hzz_photon_jet_v53/hlt.log, - rate: 5.28 Hz (2012Data)
A	SinglePhoton	HLT_Photon36_R9Id90_HE10_IsoM_v2	SMP,SUSY	yes	CMHSLT-157, mod. CMSHLT-230	L1_SingleEG25 OR L1_SingleEG30		   1										   350	   280	   210	   150	   70	   35	   18		0	0	0	0	0	0	0			ms		±		Hz	   1.3	±	   0.2	Hz	group: SMP, rate: PS to 0.5 Hz, type: signal/control, description: single photons with ID and iso, for higher purity SMP selection and SUSY Z+jets bg estimates
A	SinglePhoton	HLT_Photon36_v2	SMP, EXO	yes	CMHSLT-157	L1_SingleEG25 OR L1_SingleEG30		   1										  8 400	  6 720	  5 040	  3 360	  1 680	   840	   420		0	0	0	0	0	0	0			ms		±		Hz	   0.5	±	   0.2	Hz	group: SMP, rate: PS to 0.5 Hz, type: signal/control, description: single photons with loose ID and no iso for unbiased fake studies
A	SinglePhoton	HLT_Photon42_R9Id85_OR_CaloId24b40e_Iso50T80L_Photon25_AND_HE10_R9Id65_Eta2_Mass15_v1	EXO	yes	CMSHLT-352	L1_SingleEG40 OR L1_SingleEG35 OR L1_DoubleEG_22_10 OR L1_DoubleEG_15_10		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   5.9	±	   0.3	Hz	group: EXO long-lived, expected rate: 4.1 Hz, type: signal, description: variant of Higgs resonant trigger with |eta|<2.0 and mass cut lowered to 15 for lower-mass long-lived particle searches, approval: https://indico.cern.ch/event/338306/contribution/21/material/slides/0.pdf
A	SinglePhoton	HLT_Photon50_R9Id90_HE10_Iso40_EBOnly_PFMET40_v2	Higgs (H→ZZ→2ℓ2ν)	yes	CMSHLT-83, updated by CMSHLT-122, CMSHLT-138	L1_SingleEG40		   1										   9	   9	   9	   9	   9	   9	   9		0	0	0	0	0	0	0			ms		±		Hz	   1.1	±	   0.1	Hz	group: HIG, - type: control , - approval: https://indico.cern.ch/event/320705/contribution/16/material/slides/0.pdf, - hltIntegrationTests: /afs/cern.ch/user/x/xshi/public/hlt/hzz_photon_jet_v53/hlt.log, - rate: 4.83 Hz (2012Data)
A	SinglePhoton	HLT_Photon50_R9Id90_HE10_Iso40_EBOnly_VBF_v2	Higgs (H→ZZ→2ℓ2ν)	yes	CMSHLT-83, updated by CMSHLT-122, CMSHLT-138	L1_SingleEG40		   1										   3	   3	   3	   3	   3	   3	   3		0	0	0	0	0	0	0			ms		±		Hz	   4.9	±	   0.6	Hz	group: HIG, - type: control , - approval: https://indico.cern.ch/event/320705/contribution/16/material/slides/0.pdf, - hltIntegrationTests: /afs/cern.ch/user/x/xshi/public/hlt/hzz_photon_jet_v53/hlt.log, - rate: 1.61 Hz (2012Data)
A	SinglePhoton	HLT_Photon50_R9Id90_HE10_IsoM_v2	SMP,SUSY	yes	CMHSLT-157, mod. CMSHLT-230	L1_SingleEG25 OR L1_SingleEG40		   1										   62	   49	   37	   25	   12	   6	   3		0	0	0	0	0	0	0			ms		±		Hz	   2.3	±	   0.5	Hz	group: SMP, rate: PS to 1.5 Hz, type: signal/control, description: single photons with ID and iso, for higher purity SMP selection and SUSY Z+jets bg estimates
A	SinglePhoton	HLT_Photon50_v2	SMP, EXO	yes	CMHSLT-157	L1_SingleEG25 OR L1_SingleEG40		   1										  2 850	  2 280	  1 710	  1 140	   570	   285	   142		0	0	0	0	0	0	0			ms		±		Hz	   0.3	±	   0.0	Hz	group: SMP, rate: PS to 0.5 Hz, type: signal/control, description: single photons with loose ID and no iso for unbiased fake studies
A	SinglePhoton	HLT_Photon500_v1	Egamma	yes	CMSHLT-312	L1_SingleEG40		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   0.5	±	   0.5	Hz	group: Egamma
A	SinglePhoton	HLT_Photon600_v1	PPD	yes	CMSHLT-312	L1_SingleEG40		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   0.0	±	   0.0	Hz	group: PPD, description: backup photon trigger for the Hotline
A	SinglePhoton	HLT_Photon75_R9Id90_HE10_Iso40_EBOnly_PFMET40_v2	Higgs (H→ZZ→2ℓ2ν)	yes	CMSHLT-83, updated by CMSHLT-122, CMSHLT-138	L1_SingleEG40		   1										   3	   3	   3	   3	   3	   3	   3		0	0	0	0	0	0	0			ms		±		Hz	   3.8	±	   1.2	Hz	group: HIG, - type: control , - approval: https://indico.cern.ch/event/320705/contribution/16/material/slides/0.pdf, - hltIntegrationTests: /afs/cern.ch/user/x/xshi/public/hlt/hzz_photon_jet_v53/hlt.log, - rate: 1.03 Hz (2012Data)
A	SinglePhoton	HLT_Photon75_R9Id90_HE10_Iso40_EBOnly_VBF_v2	Higgs (H→ZZ→2ℓ2ν)	yes	CMSHLT-83, updated by CMSHLT-122, CMSHLT-138	L1_SingleEG40		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   5.1	±	   0.8	Hz	group: HIG, - type: control , - approval: https://indico.cern.ch/event/320705/contribution/16/material/slides/0.pdf, - hltIntegrationTests: /afs/cern.ch/user/x/xshi/public/hlt/hzz_photon_jet_v53/hlt.log, - rate: 0.39 Hz (2012Data)
A	SinglePhoton	HLT_Photon75_R9Id90_HE10_IsoM_v2	SMP, SUSY	yes	CMHSLT-157, mod. CMSHLT-230	L1_SingleEG25 OR L1_SingleEG40		   1										   11	   9	   6	   4	   2	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   2.2	±	   0.1	Hz	group: SMP, rate: PS to 1.5 Hz, type: signal/control, description: single photons with ID and iso, for higher purity SMP selection and SUSY Z+jets bg estimates
A	SinglePhoton	HLT_Photon75_v2	SMP, EXO	yes	CMHSLT-157	L1_SingleEG25 OR L1_SingleEG40		   1										   600	   480	   360	   240	   120	   60	   30		0	0	0	0	0	0	0			ms		±		Hz	   0.6	±	   0.2	Hz	group: SMP, rate: PS to 0.5 Hz, type: signal/control, description: single photons with loose ID and no iso for unbiased fake studies
A	SinglePhoton	HLT_Photon90_CaloIdL_PFHT500_v2	SUSY, EXO	yes	CMSHLT-166	L1_SingleEG40		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   9.3	±	   0.5	Hz	group: SUSY
A	SinglePhoton	HLT_Photon90_CaloIdL_PFHT600_v1	EXO	yes	CMSHLT-352	L1_SingleEG40		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   4.4	±	   0.5	Hz	group: SUSY
A	SinglePhoton	HLT_Photon90_R9Id90_HE10_Iso40_EBOnly_PFMET40_v2	Higgs (H→ZZ→2ℓ2ν)	yes	CMSHLT-83, updated by CMSHLT-122, CMSHLT-138	L1_SingleEG40		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   6.5	±	   1.5	Hz	group: HIG, - type: control , - approval: https://indico.cern.ch/event/320705/contribution/16/material/slides/0.pdf, - hltIntegrationTests: /afs/cern.ch/user/x/xshi/public/hlt/hzz_photon_jet_v53/hlt.log
A	SinglePhoton	HLT_Photon90_R9Id90_HE10_Iso40_EBOnly_VBF_v2	Higgs (H→ZZ→2ℓ2ν)	yes	CMSHLT-83, updated by CMSHLT-122, CMSHLT-138	L1_SingleEG40		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   3.6	±	   0.8	Hz	group: HIG, - type: control , - approval: https://indico.cern.ch/event/320705/contribution/16/material/slides/0.pdf, - hltIntegrationTests: /afs/cern.ch/user/x/xshi/public/hlt/hzz_photon_jet_v53/hlt.log, - rate: 0.28 Hz (2012Data)
A	SinglePhoton	HLT_Photon90_R9Id90_HE10_IsoM_v2	SMP, SUSY	yes	CMHSLT-157, mod. CMSHLT-230	L1_SingleEG25 OR L1_SingleEG40		   1										   6	   5	   4	   2	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   3.8	±	   0.9	Hz	group: SMP, rate: PS to 1.5 Hz, type: signal/control, description: single photons with ID and iso, for higher purity SMP selection and SUSY Z+jets bg estimates
A	SinglePhoton	HLT_Photon90_v2	SMP, EXO	yes	CMHSLT-157	L1_SingleEG25 OR L1_SingleEG40		   1										   300	   240	   180	   120	   60	   30	   15		0	0	0	0	0	0	0			ms		±		Hz	   0.6	±	   0.2	Hz	group: SMP, rate: PS to 0.5 Hz, type: signal/control, description: single photons with loose ID and no iso for unbiased fake studies
