Path	Group	QCDPt15to30	QCDPt30to50	QCDPt50to80	QCDPt80to120	QCDPt120to170	QCDPt170to300	QCDPt300to470	QCDPt470to600	QCDPt600to800	DYToEE	DYToMuMu	WToENu	WToMuNu	QCDPt30to80EMEnriched	QCDPt80to170EMEnriched	QCDPt30to50MuEnrichedPt5PionKaonDecay	QCDPt50to80MuEnrichedPt5PionKaonDecay	QCDPt80to120MuEnrichedPt5PionKaonDecay	
L1_SingleIsoEG18	L1	0	69	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	
L1_SingleJet68	L1	0	70	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	
L1_SingleMu25	L1	0	10	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	
L1_SingleMu20	L1	0	12	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	
L1_DoubleJetC72	L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L1_TripleMu0	L1	0	6	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	
L1_SingleMu30	L1	0	10	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	
L1_ETT90	Masked	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L1_DoubleJetC52	L1	0	70	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	
L1_HTT150	L1	0	70	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	
L1_DoubleJetC112	L1	0	70	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	
L1_HTT125	L1	0	70	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	
L1_DoubleMu0_Eta1p6_WdEta18	L1	0	20	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	
L1_Mu6_HTT150	L1	0	29	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	
L1_HTT250	L1	0	70	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	
L1_SingleJet12	L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L1_SingleMuOpen	L1	0	39	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	
L1_SingleJetC32_NotBptxOR	L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L1_QuadMu0	L1	0	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	
