Path	Group	QCDPt15to30	QCDPt30to50	QCDPt50to80	QCDPt80to120	QCDPt120to170	QCDPt170to300	QCDPt300to470	QCDPt470to600	QCDPt600to800	DYToEE	DYToMuMu	WToENu	WToMuNu	QCDPt30to80EMEnriched	QCDPt80to170EMEnriched	QCDPt30to50MuEnrichedPt5PionKaonDecay	QCDPt50to80MuEnrichedPt5PionKaonDecay	QCDPt80to120MuEnrichedPt5PionKaonDecay	
HLT_PFHT800_v1	SUSY	0	70	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	
HLT_Ele8_CaloIdM_TrackIdM_PFJet30_v2	SUSY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_QuadPFJet_DoubleBTagCSV_VBF_Mqq240_v2	HIG	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
HLT_Rsq0p30_v1	SUSY	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
HLT_DiPFJetAve320_v1	JetMET	0	4	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	
HLT_IsoMu16_eta2p1_CaloMET30_LooseIsoPFTau50_Trk30_eta2p1_v2	TAU,HIG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_DiPFJetAve80_HFJEC_v2	NoGroup	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Mu17_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v2	HIG,SMP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_IsoMu24_eta2p1_TriCentralPFJet30_v2	TOP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Dimuon6_Jpsi_NoVertexing_v1	BPH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_MonoCentralPFJet80_PFMETNoMu120_NoiseCleaned_PFMHTNoMu120_IDTight_v2	EXO	0	23	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	
HLT_IsoMu24_eta2p1_LooseIsoPFTau20_v2	TAU,HIG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Photon75_R9Id90_HE10_Iso40_EBOnly_PFMET40_v2	HIG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_RsqMR240_Rsq0p09_MR200_v1	SUSY	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
HLT_PFHT350_DiPFJetAve90_PFAlphaT0p52_v1	SUSY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_TkMu20_v2	SMP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_IsoMu20_v2	SMP,TOP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_TrkMu17_DoubleTrkMu8NoFiltersNoVtx_v2	EXO,SUSY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_TripleMu_12_10_5_v1	HIG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Photon90_CaloIdL_PFHT500_v2	SUSY,EXO	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	
HLT_LooseIsoPFTau50_Trk30_eta2p1_MET120_v2	TAU,HIG	0	19	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	
HLT_Mu42NoFiltersNoVtx_Photon42_CaloIdL_v2	EXO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Photon22_R9Id90_HE10_Iso40_EBOnly_VBF_v2	HIG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_PFJet450_v2	SMP,B2G	0	70	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	
HLT_Photon90_CaloIdL_PFHT600_v1	EXO	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	
HLT_MET60_IsoTrk35_Loose_v1	EXO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_PFHT200_DiPFJetAve90_PFAlphaT0p63_v1	SUSY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Rsq0p25_v1	SUSY	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
HLT_DiPFJetAve60_v1	JetMET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_DiPFJetAve140_v1	JetMET	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Mu38NoFiltersNoVtxDisplaced_DisplacedJet60_Loose_v2	EXO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
